Etiquetas de fila;Cuenta de Especie ID;Cuenta de Tiene foto;Suma de Es protagonsita
100 - Ardenna creatopus;1;1;1
110 - Cheirodon kiliani;3;3;2
119 - Diplomystes chilensis;5;5;4
145 - Gyriosomus angustus;2;2;2
150 - Lasia pulla;1;1;1
167 - Lycalopex fulvipes;8;8;8
17 - Chilina angusta;4;3;1
191 - Pristidactylus valeriae;3;3;2
205 - Telmatobufo venustus;1;1;1
207 - Trichomycterus chiltoni;5;5;4
213 - Virilastacus rucapihuelensis;1;1;1
25 - Eulidia yarrellii;8;8;8
45 - Pristidactylus alvaroi;9;8;7
49 - Rhinoderma rufum;13;13;4
50 - Sclerostomulus nitidus;1;1;0
51 - Sephanoides fernandensis;1;1;0
80 - Alsodes cantillanensis;2;2;0
82 - Alsodes tumultuosus;1;1;1
214 - Hippocamelus bisulcus;8;8;5
215 - Rhinoderma darwinii;24;24;24
216 - Spheniscus humboldti;76;76;76
Total general;177;175;152
